image,author,license,source_url
2012_NPC_Rhode_Island_Men_s_Physique_Winners_-_Male_Models_Anton_Antipov___John_Quinlan.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Rhode_Island_Men%27s_Physique_Winners_-_Male_Models_Anton_Antipov_%26_John_Quinlan.jpg
2012_NPC_Team_Universe_Men_s_Physique_Competitor_John_Quinlan.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:2012_NPC_Team_Universe_Men%27s_Physique_Competitor_John_Quinlan.jpg
Elephant_d_Asie__Elephant_nature_park__Tha_lande_.jpg,Chirstelle EL JAMALI,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Elephant_d%27Asie_(Elephant_nature_park,_Tha%C3%AFlande).jpg"
Elephanteaux_d_Asie__Elephant_nature_park__Tha_lande_.jpg,Christelle EL JAMALI,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Elephanteaux_d%27Asie_(Elephant_nature_park,_Tha%C3%AFlande).jpg"
Fodie_Diarra_CIP_2015_quals_t171738.jpg,Marie-Lan Nguyen,CC BY 3.0,https://commons.wikimedia.org/wiki/File:Fodie_Diarra_CIP_2015_quals_t171738.jpg
Male_Model___2012_NPC_Rhode_Island_State_Men_s_Physique_Competitor_John_Quinlan.jpg,Bbpics,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Male_Model_%26_2012_NPC_Rhode_Island_State_Men%27s_Physique_Competitor_John_Quinlan.jpg
_________________________________________________________________________05.jpg,Mostafameraji,CC BY 4.0,https://commons.wikimedia.org/wiki/File:%D8%A7%D8%B3%D8%AA%D9%87%D9%84%D8%A7%D9%84_%D9%85%D8%A7%D9%87_%D8%B1%D9%85%D8%B6%D8%A7%D9%86_%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D9%82%D9%85%D8%8C_%D8%B9%DA%A9%D8%A7%D8%B3_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D9%85%D8%B9%D8%B1%D8%A7%D8%AC%DB%8C%D8%8C_%D8%A8%D9%84%D9%86%D8%AF%DB%8C_%D9%87%D8%A7%DB%8C_%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86_%D8%B9%D9%84%D9%88%DB%8C_%D9%82%D9%85_05.jpg
_________________________________________________________________________06.jpg,Mostafameraji,CC BY 4.0,https://commons.wikimedia.org/wiki/File:%D8%A7%D8%B3%D8%AA%D9%87%D9%84%D8%A7%D9%84_%D9%85%D8%A7%D9%87_%D8%B1%D9%85%D8%B6%D8%A7%D9%86_%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D9%82%D9%85%D8%8C_%D8%B9%DA%A9%D8%A7%D8%B3_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D9%85%D8%B9%D8%B1%D8%A7%D8%AC%DB%8C%D8%8C_%D8%A8%D9%84%D9%86%D8%AF%DB%8C_%D9%87%D8%A7%DB%8C_%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86_%D8%B9%D9%84%D9%88%DB%8C_%D9%82%D9%85_06.jpg
_________________________________________________________________________11.jpg,Mostafameraji,CC BY 4.0,https://commons.wikimedia.org/wiki/File:%D8%A7%D8%B3%D8%AA%D9%87%D9%84%D8%A7%D9%84_%D9%85%D8%A7%D9%87_%D8%B1%D9%85%D8%B6%D8%A7%D9%86_%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D9%82%D9%85%D8%8C_%D8%B9%DA%A9%D8%A7%D8%B3_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D9%85%D8%B9%D8%B1%D8%A7%D8%AC%DB%8C%D8%8C_%D8%A8%D9%84%D9%86%D8%AF%DB%8C_%D9%87%D8%A7%DB%8C_%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86_%D8%B9%D9%84%D9%88%DB%8C_%D9%82%D9%85_11.jpg
_________________________________________________________________________13.jpg,Mostafameraji,CC BY 4.0,https://commons.wikimedia.org/wiki/File:%D8%A7%D8%B3%D8%AA%D9%87%D9%84%D8%A7%D9%84_%D9%85%D8%A7%D9%87_%D8%B1%D9%85%D8%B6%D8%A7%D9%86_%D8%AF%D8%B1_%D8%B4%D9%87%D8%B1_%D9%82%D9%85%D8%8C_%D8%B9%DA%A9%D8%A7%D8%B3_%D9%85%D8%B5%D8%B7%D9%81%DB%8C_%D9%85%D8%B9%D8%B1%D8%A7%D8%AC%DB%8C%D8%8C_%D8%A8%D9%84%D9%86%D8%AF%DB%8C_%D9%87%D8%A7%DB%8C_%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86_%D8%B9%D9%84%D9%88%DB%8C_%D9%82%D9%85_13.jpg
Dyess_bikini_competition.jpg,U.S. Air Force photo by Airman 1st Class Peter Thompson,Public domain,https://commons.wikimedia.org/wiki/File:Dyess_bikini_competition.jpg
